ДАТА,ТИП,СО СЧЁТА,НА СЧЁТ / НА КАТЕГОРИЮ,СУММА,ВАЛЮТА,СУММА 2,ВАЛЮТА 2,МЕТКИ,ЗАМЕТКИ
20.08.2022,Расход,Карта,Хавчик,400,KZT,400,KZT,,
19.08.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
19.08.2022,Расход,Карта,Транспорт,1080,KZT,1080,KZT,,
19.08.2022,Расход,Карта,Транспорт,4000,KZT,4000,KZT,,
19.08.2022,Расход,Карта,Хавчик,1290,KZT,1290,KZT,,
19.08.2022,Расход,Карта,Транспорт,1580,KZT,1580,KZT,,
19.08.2022,Расход,Карта,Хавчик,2820,KZT,2820,KZT,,
15.08.2022,Расход,Карта,Транспорт,250,KZT,250,KZT,,
15.08.2022,Расход,Карта,Хавчик,700,KZT,700,KZT,,
15.08.2022,Расход,Карта,Транспорт,1010,KZT,1010,KZT,,
15.08.2022,Расход,Карта,Транспорт,3500,KZT,3500,KZT,,
15.08.2022,Расход,Карта,Хавчик,100,KZT,100,KZT,,
15.08.2022,Расход,Карта,Транспорт,1310,KZT,1310,KZT,,
15.08.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
15.08.2022,Расход,Карта,Хавчик,790,KZT,790,KZT,,
15.08.2022,Расход,Карта,Хавчик,1180,KZT,1180,KZT,,
14.08.2022,Расход,Карта,Хавчик,1590,KZT,1590,KZT,,
14.08.2022,Расход,Карта,Хавчик,165,KZT,165,KZT,,
14.08.2022,Расход,Карта,Хавчик,590,KZT,590,KZT,,
14.08.2022,Расход,Карта,Хавчик,30,KZT,30,KZT,,
14.08.2022,Расход,Карта,Хавчик,725,KZT,725,KZT,,
14.08.2022,Расход,Карта,Транспорт,500,KZT,500,KZT,,
14.08.2022,Расход,Карта,Хавчик,1000,KZT,1000,KZT,,
13.08.2022,Расход,Карта,Хавчик,720,KZT,720,KZT,,
13.08.2022,Расход,Карта,Хавчик,780,KZT,780,KZT,,
13.08.2022,Расход,Карта,Хавчик,113,KZT,113,KZT,,
13.08.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
13.08.2022,Расход,Карта,Хавчик,190,KZT,190,KZT,,
13.08.2022,Расход,Карта,Хавчик,480,KZT,480,KZT,,
13.08.2022,Расход,Карта,Хавчик,1580,KZT,1580,KZT,,
13.08.2022,Расход,Карта,Транспорт,80,KZT,80,KZT,,
13.08.2022,Расход,Карта,Хавчик,180,KZT,180,KZT,,
12.08.2022,Расход,Карта,Хавчик,1150,KZT,1150,KZT,,
12.08.2022,Расход,Карта,Хавчик,544,KZT,544,KZT,,
12.08.2022,Расход,Карта,Хавчик,400,KZT,400,KZT,,
12.08.2022,Расход,Карта,Покупки,17900,KZT,17900,KZT,,
11.08.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
11.08.2022,Расход,Карта,Хавчик,1195,KZT,1195,KZT,,
10.08.2022,Расход,Карта,Транспорт,80,KZT,80,KZT,,
10.08.2022,Расход,Карта,Хавчик,880,KZT,880,KZT,,
10.08.2022,Расход,Карта,Хавчик,660,KZT,660,KZT,,
10.08.2022,Расход,Карта,Покупки,849,KZT,849,KZT,,
09.08.2022,Расход,Карта,Покупки,150,KZT,150,KZT,,
09.08.2022,Расход,Карта,Хавчик,1264,KZT,1264,KZT,,
09.08.2022,Расход,Карта,Покупки,2877,KZT,2877,KZT,,
09.08.2022,Расход,Карта,Хавчик,1970,KZT,1970,KZT,,
08.08.2022,Расход,Карта,Хавчик,810,KZT,810,KZT,,
08.08.2022,Расход,Карта,Хавчик,1050,KZT,1050,KZT,,
08.08.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
08.08.2022,Расход,Карта,Покупки,70,KZT,70,KZT,,
08.08.2022,Расход,Карта,Хавчик,140,KZT,140,KZT,,
06.08.2022,Расход,Карта,Хавчик,310,KZT,310,KZT,,
06.08.2022,Расход,Карта,Хавчик,1540,KZT,1540,KZT,,
06.08.2022,Расход,Карта,Хавчик,255,KZT,255,KZT,,
05.08.2022,Расход,Карта,Покупки,1195,KZT,1195,KZT,,
05.08.2022,Расход,Карта,Образование,2420,KZT,2420,KZT,,
05.08.2022,Расход,Карта,Хавчик,780,KZT,780,KZT,,
03.08.2022,Расход,Карта,Продукты,4864,KZT,4864,KZT,,
02.08.2022,Расход,Карта,Хавчик,2070,KZT,2070,KZT,,
02.08.2022,Расход,Карта,Хавчик,710,KZT,710,KZT,,
01.08.2022,Расход,Карта,Хавчик,100,KZT,100,KZT,,
01.08.2022,Расход,Карта,Хавчик,780,KZT,780,KZT,,
01.08.2022,Расход,Карта,Хавчик,830,KZT,830,KZT,,
01.08.2022,Расход,Карта,Хавчик,145,KZT,145,KZT,,
01.08.2022,Расход,Карта,Хавчик,700,KZT,700,KZT,,
31.07.2022,Расход,Карта,Жильё,30000,KZT,30000,KZT,,
31.07.2022,Расход,Карта,Хавчик,310,KZT,310,KZT,,
31.07.2022,Расход,Карта,Хавчик,610,KZT,610,KZT,,
31.07.2022,Расход,Карта,Транспорт,1190,KZT,1190,KZT,,
30.07.2022,Расход,Карта,Продукты,700,KZT,700,KZT,,
30.07.2022,Расход,Карта,Хавчик,100,KZT,100,KZT,,
30.07.2022,Расход,Карта,Хавчик,210,KZT,210,KZT,,
30.07.2022,Расход,Карта,Хавчик,220,KZT,220,KZT,,
30.07.2022,Расход,Карта,Хавчик,830,KZT,830,KZT,,
30.07.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
30.07.2022,Расход,Карта,Транспорт,500,KZT,500,KZT,,
29.07.2022,Расход,Карта,Хавчик,580,KZT,580,KZT,,
29.07.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
29.07.2022,Расход,Карта,Хавчик,530,KZT,530,KZT,,
29.07.2022,Расход,Карта,Хавчик,670,KZT,670,KZT,,
29.07.2022,Расход,Карта,Хавчик,160,KZT,160,KZT,,
29.07.2022,Расход,Карта,Хавчик,360,KZT,360,KZT,,
28.07.2022,Расход,Карта,Хавчик,290,KZT,290,KZT,,
28.07.2022,Расход,Карта,Хавчик,510,KZT,510,KZT,,
28.07.2022,Расход,Карта,Хавчик,460,KZT,460,KZT,,
28.07.2022,Расход,Карта,Хавчик,270,KZT,270,KZT,,
28.07.2022,Расход,Карта,Хавчик,420,KZT,420,KZT,,
28.07.2022,Расход,Карта,Транспорт,80,KZT,80,KZT,,
27.07.2022,Расход,Карта,Продукты,2670,KZT,2670,KZT,,
27.07.2022,Расход,Карта,Хавчик,280,KZT,280,KZT,,
26.07.2022,Расход,Карта,Хавчик,835,KZT,835,KZT,,
26.07.2022,Расход,Карта,Хавчик,1030,KZT,1030,KZT,,
25.07.2022,Расход,Карта,Хавчик,1420,KZT,1420,KZT,,
24.07.2022,Расход,Карта,Хавчик,1020,KZT,1020,KZT,,
23.07.2022,Расход,Карта,Хавчик,320,KZT,320,KZT,,
23.07.2022,Расход,Карта,Хавчик,160,KZT,160,KZT,,
23.07.2022,Расход,Карта,Хавчик,355,KZT,355,KZT,,
22.07.2022,Расход,Карта,Покупки,3000,KZT,3000,KZT,,
22.07.2022,Расход,Карта,Хавчик,580,KZT,580,KZT,,
21.07.2022,Расход,Карта,Покупки,360,KZT,360,KZT,,
21.07.2022,Расход,Карта,Хавчик,2560,KZT,2560,KZT,,
21.07.2022,Расход,Карта,Хавчик,1180,KZT,1180,KZT,,
20.07.2022,Расход,Карта,Хавчик,928,KZT,928,KZT,,
20.07.2022,Расход,Карта,Хавчик,1550,KZT,1550,KZT,,
20.07.2022,Расход,Карта,Покупки,1152,KZT,1152,KZT,,
19.07.2022,Расход,Карта,Хавчик,1850,KZT,1850,KZT,,
19.07.2022,Расход,Карта,Хавчик,2570,KZT,2570,KZT,,
19.07.2022,Расход,Карта,Хавчик,290,KZT,290,KZT,,
19.07.2022,Расход,Карта,Хавчик,1125,KZT,1125,KZT,,
19.07.2022,Расход,Карта,Хавчик,1282,KZT,1282,KZT,,
19.07.2022,Расход,Карта,Транспорт,500,KZT,500,KZT,,
19.07.2022,Расход,Карта,Хавчик,1850,KZT,1850,KZT,,
18.07.2022,Расход,Карта,Хавчик,620,KZT,620,KZT,,
18.07.2022,Расход,Карта,Хавчик,478,KZT,478,KZT,,
18.07.2022,Расход,Карта,Хавчик,235,KZT,235,KZT,,
18.07.2022,Расход,Карта,Хавчик,620,KZT,620,KZT,,
18.07.2022,Расход,Карта,Транспорт,394,KZT,394,KZT,,
18.07.2022,Расход,Карта,Досуг,5690,KZT,5690,KZT,,
18.07.2022,Расход,Карта,Хавчик,2618,KZT,2618,KZT,,
17.07.2022,Расход,Карта,Хавчик,173,KZT,173,KZT,,
17.07.2022,Расход,Карта,Хавчик,530,KZT,530,KZT,,
17.07.2022,Расход,Карта,Хавчик,350,KZT,350,KZT,,
16.07.2022,Расход,Карта,Хавчик,175,KZT,175,KZT,,
16.07.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
16.07.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
15.07.2022,Расход,Карта,Покупки,1500,KZT,1500,KZT,,
15.07.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
14.07.2022,Расход,Карта,Хавчик,880,KZT,880,KZT,,
14.07.2022,Расход,Карта,Покупки,5510,KZT,5510,KZT,,
14.07.2022,Расход,Карта,Хавчик,450,KZT,450,KZT,,
14.07.2022,Расход,Карта,Продукты,1450,KZT,1450,KZT,,
13.07.2022,Расход,Карта,Хавчик,940,KZT,940,KZT,,
13.07.2022,Расход,Карта,Хавчик,290,KZT,290,KZT,,
13.07.2022,Расход,Карта,Хавчик,735,KZT,735,KZT,,
12.07.2022,Расход,Карта,Хавчик,1580,KZT,1580,KZT,,
12.07.2022,Расход,Карта,Покупки,2585,KZT,2585,KZT,,
12.07.2022,Расход,Карта,Хавчик,380,KZT,380,KZT,,
12.07.2022,Расход,Карта,Хавчик,380,KZT,380,KZT,,
12.07.2022,Расход,Карта,Покупки,2500,KZT,2500,KZT,,
11.07.2022,Расход,Карта,Хавчик,2178,KZT,2178,KZT,,
11.07.2022,Расход,Карта,Покупки,4800,KZT,4800,KZT,,
11.07.2022,Расход,Карта,Транспорт,500,KZT,500,KZT,,
11.07.2022,Расход,Карта,Покупки,800,KZT,800,KZT,,
11.07.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
10.07.2022,Расход,Карта,Хавчик,220,KZT,220,KZT,,
10.07.2022,Расход,Карта,Хавчик,330,KZT,330,KZT,,
10.07.2022,Расход,Карта,Хавчик,210,KZT,210,KZT,,
09.07.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
09.07.2022,Расход,Карта,Образование,3890,KZT,3890,KZT,,
08.07.2022,Расход,Карта,Хавчик,210,KZT,210,KZT,,
07.07.2022,Расход,Карта,Досуг,4200,KZT,4200,KZT,,
07.07.2022,Расход,Карта,Хавчик,477,KZT,477,KZT,,
07.07.2022,Расход,Карта,Хавчик,1790,KZT,1790,KZT,,
06.07.2022,Расход,Карта,Покупки,80,KZT,80,KZT,,
06.07.2022,Расход,Карта,Покупки,850,KZT,850,KZT,,
06.07.2022,Расход,Карта,Хавчик,570,KZT,570,KZT,,
05.07.2022,Расход,Карта,Хавчик,50,KZT,50,KZT,,
04.07.2022,Расход,Карта,Продукты,3687,KZT,3687,KZT,,
04.07.2022,Расход,Карта,Хавчик,520,KZT,520,KZT,,
03.07.2022,Расход,Карта,Хавчик,1558,KZT,1558,KZT,,
02.07.2022,Расход,Карта,Покупки,466,KZT,466,KZT,,
02.07.2022,Расход,Карта,Хавчик,380,KZT,380,KZT,,
02.07.2022,Расход,Карта,Транспорт,100,KZT,100,KZT,,
01.07.2022,Расход,Карта,Покупки,1000,KZT,1000,KZT,,
01.07.2022,Расход,Карта,Хавчик,770,KZT,770,KZT,,
01.07.2022,Расход,Карта,Досуг,1800,KZT,1800,KZT,,
01.07.2022,Расход,Карта,Хавчик,515,KZT,515,KZT,,
01.07.2022,Расход,Карта,Транспорт,200,KZT,200,KZT,,
01.07.2022,Расход,Карта,Хавчик,1590,KZT,1590,KZT,,
01.07.2022,Расход,Карта,Транспорт,470,KZT,470,KZT,,
01.07.2022,Расход,Карта,Транспорт,500,KZT,500,KZT,,
30.06.2022,Расход,Карта,Жильё,36000,KZT,36000,KZT,,
30.06.2022,Расход,Карта,Образование,3450,KZT,3450,KZT,,
30.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
30.06.2022,Расход,Карта,Транспорт,840,KZT,840,KZT,,
29.06.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
29.06.2022,Расход,Карта,Хавчик,150,KZT,150,KZT,,
29.06.2022,Расход,Карта,Хавчик,1051,KZT,1051,KZT,,
29.06.2022,Расход,Карта,Хавчик,400,KZT,400,KZT,,
29.06.2022,Расход,Карта,Хавчик,1190,KZT,1190,KZT,,
29.06.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
28.06.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
28.06.2022,Расход,Карта,Покупки,3120,KZT,3120,KZT,,
28.06.2022,Расход,Карта,Хавчик,470,KZT,470,KZT,,
28.06.2022,Расход,Карта,Хавчик,580,KZT,580,KZT,,
28.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
28.06.2022,Расход,Карта,Хавчик,815,KZT,815,KZT,,
28.06.2022,Расход,Карта,Хавчик,824,KZT,824,KZT,,
27.06.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
27.06.2022,Расход,Карта,Хавчик,320,KZT,320,KZT,,
27.06.2022,Расход,Карта,Хавчик,210,KZT,210,KZT,,
27.06.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
27.06.2022,Расход,Карта,Тариф,3000,KZT,3000,KZT,,
27.06.2022,Расход,Карта,Хавчик,370,KZT,370,KZT,,
26.06.2022,Расход,Карта,Хавчик,695,KZT,695,KZT,,
26.06.2022,Расход,Карта,Хавчик,400,KZT,400,KZT,,
26.06.2022,Расход,Карта,Хавчик,340,KZT,340,KZT,,
26.06.2022,Расход,Карта,Хавчик,210,KZT,210,KZT,,
26.06.2022,Расход,Карта,Хавчик,400,KZT,400,KZT,,
25.06.2022,Расход,Карта,Хавчик,1270,KZT,1270,KZT,,
24.06.2022,Расход,Карта,Хавчик,460,KZT,460,KZT,,
24.06.2022,Расход,Карта,Хавчик,2775,KZT,2775,KZT,,
24.06.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
24.06.2022,Расход,Карта,Хавчик,1400,KZT,1400,KZT,,
23.06.2022,Расход,Карта,Хавчик,220,KZT,220,KZT,,
23.06.2022,Расход,Карта,Хавчик,500,KZT,500,KZT,,
23.06.2022,Расход,Карта,Хавчик,113,KZT,113,KZT,,
23.06.2022,Расход,Карта,Хавчик,990,KZT,990,KZT,,
22.06.2022,Расход,Карта,Хавчик,670,KZT,670,KZT,,
22.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
22.06.2022,Расход,Карта,Хавчик,135,KZT,135,KZT,,
22.06.2022,Расход,Карта,Хавчик,160,KZT,160,KZT,,
22.06.2022,Расход,Карта,Хавчик,660,KZT,660,KZT,,
21.06.2022,Расход,Карта,Хавчик,110,KZT,110,KZT,,
21.06.2022,Расход,Карта,Хавчик,424,KZT,424,KZT,,
20.06.2022,Расход,Карта,Хавчик,550,KZT,550,KZT,,
20.06.2022,Расход,Карта,Хавчик,220,KZT,220,KZT,,
20.06.2022,Расход,Карта,Покупки,1100,KZT,1100,KZT,,
20.06.2022,Расход,Карта,Хавчик,500,KZT,500,KZT,,
19.06.2022,Расход,Карта,Хавчик,130,KZT,130,KZT,,
19.06.2022,Расход,Карта,Хавчик,580,KZT,580,KZT,,
19.06.2022,Расход,Карта,Хавчик,150,KZT,150,KZT,,
19.06.2022,Расход,Карта,Хавчик,470,KZT,470,KZT,,
18.06.2022,Расход,Карта,Хавчик,180,KZT,180,KZT,,
18.06.2022,Расход,Карта,Хавчик,470,KZT,470,KZT,,
17.06.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
16.06.2022,Расход,Карта,Одежда,11500,KZT,11500,KZT,,
16.06.2022,Расход,Карта,Хавчик,780,KZT,780,KZT,,
16.06.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
16.06.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
16.06.2022,Расход,Карта,Хавчик,155,KZT,155,KZT,,
15.06.2022,Расход,Карта,Хавчик,210,KZT,210,KZT,,
14.06.2022,Расход,Карта,Хавчик,140,KZT,140,KZT,,
14.06.2022,Расход,Карта,Хавчик,570,KZT,570,KZT,,
14.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
14.06.2022,Расход,Карта,Хавчик,450,KZT,450,KZT,,
13.06.2022,Расход,Карта,Хавчик,1233,KZT,1233,KZT,,
13.06.2022,Расход,Карта,Хавчик,750,KZT,750,KZT,,
12.06.2022,Расход,Карта,Транспорт,500,KZT,500,KZT,,
12.06.2022,Расход,Карта,Хавчик,510,KZT,510,KZT,,
12.06.2022,Расход,Карта,Хавчик,1010,KZT,1010,KZT,,
12.06.2022,Расход,Карта,Хавчик,1980,KZT,1980,KZT,,
12.06.2022,Расход,Карта,Хавчик,1550,KZT,1550,KZT,,
11.06.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
11.06.2022,Расход,Карта,Хавчик,129,KZT,129,KZT,,
11.06.2022,Расход,Карта,Транспорт,910,KZT,910,KZT,,
10.06.2022,Расход,Карта,Хавчик,640,KZT,640,KZT,,
10.06.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
10.06.2022,Расход,Карта,Хавчик,660,KZT,660,KZT,,
10.06.2022,Расход,Карта,Хавчик,150,KZT,150,KZT,,
10.06.2022,Расход,Карта,Хавчик,580,KZT,580,KZT,,
10.06.2022,Расход,Карта,Транспорт,680,KZT,680,KZT,,
09.06.2022,Расход,Карта,Хавчик,830,KZT,830,KZT,,
09.06.2022,Расход,Карта,Хавчик,980,KZT,980,KZT,,
09.06.2022,Расход,Карта,Транспорт,160,KZT,160,KZT,,
09.06.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
08.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
08.06.2022,Расход,Карта,Хавчик,330,KZT,330,KZT,,
08.06.2022,Расход,Карта,Хавчик,495,KZT,495,KZT,,
07.06.2022,Расход,Карта,Хавчик,10,KZT,10,KZT,,
07.06.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
06.06.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
06.06.2022,Расход,Карта,Покупки,165,KZT,165,KZT,,
06.06.2022,Расход,Карта,Хавчик,1270,KZT,1270,KZT,,
06.06.2022,Расход,Карта,Транспорт,2020,KZT,2020,KZT,,
05.06.2022,Расход,Карта,Хавчик,480,KZT,480,KZT,,
05.06.2022,Расход,Карта,Хавчик,290,KZT,290,KZT,,
05.06.2022,Расход,Карта,Продукты,5510,KZT,5510,KZT,,
04.06.2022,Расход,Карта,Хавчик,750,KZT,750,KZT,,
04.06.2022,Расход,Карта,Хавчик,1900,KZT,1900,KZT,,
03.06.2022,Расход,Карта,Хавчик,330,KZT,330,KZT,,
03.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
03.06.2022,Расход,Карта,Хавчик,690,KZT,690,KZT,,
02.06.2022,Расход,Карта,Хавчик,690,KZT,690,KZT,,
02.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
02.06.2022,Расход,Карта,Хавчик,280,KZT,280,KZT,,
01.06.2022,Расход,Карта,Хавчик,730,KZT,730,KZT,,
01.06.2022,Расход,Карта,Транспорт,360,KZT,360,KZT,,
01.06.2022,Расход,Карта,Хавчик,1130,KZT,1130,KZT,,
01.06.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
31.05.2022,Расход,Карта,Жильё,30000,KZT,30000,KZT,,
31.05.2022,Расход,Карта,Покупки,1700,KZT,1700,KZT,,
31.05.2022,Расход,Карта,Хавчик,660,KZT,660,KZT,,
31.05.2022,Расход,Карта,Хавчик,710,KZT,710,KZT,,
30.05.2022,Расход,Карта,Хавчик,560,KZT,560,KZT,,
30.05.2022,Расход,Карта,Хавчик,1000,KZT,1000,KZT,,
30.05.2022,Расход,Карта,Транспорт,610,KZT,610,KZT,,
30.05.2022,Расход,Карта,Хавчик,700,KZT,700,KZT,,
30.05.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
30.05.2022,Расход,Карта,Транспорт,10,KZT,10,KZT,,
30.05.2022,Расход,Карта,Транспорт,4910,KZT,4910,KZT,,
21.05.2022,Расход,Карта,Транспорт,610,KZT,610,KZT,,
21.05.2022,Расход,Карта,Транспорт,4000,KZT,4000,KZT,,
21.05.2022,Расход,Карта,Хавчик,450,KZT,450,KZT,,
21.05.2022,Расход,Карта,Хавчик,710,KZT,710,KZT,,
20.05.2022,Расход,Карта,Хавчик,1440,KZT,1440,KZT,,
20.05.2022,Расход,Карта,Хавчик,530,KZT,530,KZT,,
20.05.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
20.05.2022,Расход,Карта,Хавчик,710,KZT,710,KZT,,
20.05.2022,Расход,Карта,Покупки,360,KZT,360,KZT,,
20.05.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
